,Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
3036,2012-01-27,63.47714200000001,64.068573,63.395714,63.897144,55.31558199999999,74927300,60.51564295000001,63.785351908385024,57.24593399161499,1.0979804906721067,1.5651419878783344,184.61981676914087,61.305169020680246,5.679996327001151,61.333333333333314,62.46828539999994,79.96655097133615,4.565752648589689,5.679996327001151
3037,2012-01-30,63.672855000000006,64.842857,63.627143999999994,64.715714,56.024223,94835300,60.8577143,64.37278365246937,57.34264494753063,1.1063899556240993,1.699870342982443,178.99393073376797,61.759908351256215,7.208615160438015,61.69595241666665,63.19971399999995,95.97659154749982,7.7825342691049295,7.208615160438015
3038,2012-01-31,65.084282,65.46285999999999,64.724289,65.211426,56.453357999999994,97920900,61.22542845,64.94095442303465,57.50990247696535,1.0807296730795197,1.8255989819616474,174.78294347556903,62.220110704422055,8.327201127867333,62.11369041666665,64.23028499999995,95.55321632834847,6.8014284186244875,8.327201127867333
3039,2012-02-01,65.487144,65.57,65.078575,65.16999799999999,56.417503,67511500,61.5465712,65.45504259242516,57.63809980757484,1.0386364821452678,1.8999949813674348,146.07081157534776,62.61342901049912,8.665820128165308,62.546785416666644,64.50257039999995,93.05724326378055,8.510736960424849,8.665820128165308
3040,2012-02-02,65.128571,65.309998,64.854286,65.017143,56.285168000000006,46699100,61.84428540000001,65.85636990947691,57.832200890523104,0.9969990191348909,1.9244365195757638,116.37904413945387,62.93392420909924,7.16270256301364,62.90892824999998,64.80228499999996,90.40416882686588,1.8940590285277052,7.16270256301364
3041,2012-02-03,65.328575,65.714287,65.08000200000001,65.668571,56.849113,71649900,62.1417854,66.35653294157169,57.92703785842833,0.9755808034823982,1.9736207387466678,113.33369022135213,63.298543781219344,7.124044251496247,63.272856666666655,65.15657039999994,99.20887028836884,3.3848384810930146,7.124044251496247
3042,2012-02-06,65.482857,66.425713,65.457146,66.281425,57.379661999999996,62353200,62.438713799999995,66.93221193243429,57.9452156675657,0.9750798175193702,2.038552617142706,115.16016929747586,63.69626127705676,8.46755673064275,63.704046833333315,65.46971259999995,97.77676356756962,3.7314359464955142,8.46755673064275
3043,2012-02-07,66.464287,67.10714,66.36856800000001,66.975716,57.98069399999999,79055900,62.77514244999999,67.5600217377465,57.99026316225348,0.9644109019822725,2.121578839622316,122.22469370878288,64.13352190678253,11.546515657199413,64.28178499999999,65.82257059999993,98.1673935096582,3.4921997461080316,11.546515657199413
3044,2012-02-08,67.214287,68.112854,67.099998,68.097145,58.9515,101972500,63.15685689999998,68.34411577304853,57.96959802695143,0.9767485518406812,2.251909061341408,133.774523450084,64.6620049858782,11.5275773486412,64.86833283333331,66.40799999999994,99.8078912441136,4.4251738951391655,11.5275773486412
3045,2012-02-09,68.68,70.964287,68.65142800000001,70.45285799999999,60.990883,221053700,63.66128554999998,69.57537858369194,57.74719251630802,1.1117766552806327,2.5162769779436474,176.6073251336936,65.43411872109444,17.306916942795723,65.73452341666665,67.49514299999994,95.3626906547828,8.106276142589417,17.306916942795723
