,date,open,close,low,high,volume,bb_bbm,bb_bbh,bb_bbl,atr,macd,cci,ema,roc,sma12,sma5,stochastic_oscillator,mtm6,mtm12
2213,11/3/08,15.3143,15.2429,14.9786,15.5571,0,14.28314,16.21547077,12.35080923,1.376987765,-0.612831579,94.60179927,14.80152782,1.910798216,14.48964167,15.17058,79.42165075,11.14603006,1.910798216
2214,11/4/08,15.5614,15.8786,15.2514,15.9614,0,14.441355,16.35201484,12.53069516,1.329952924,-0.480886634,115.3076828,14.94513745,14.35217526,14.65571667,15.47488,96.37998186,16.80336612,14.35217526
2215,11/5/08,15.8114,14.5286,14.4571,15.8114,0,14.517785,16.31034639,12.72522361,1.336492001,-0.479723084,44.52340285,14.88959912,3.354176893,14.69500833,15.38974,60.36653684,1.194530929,3.354176893
2216,11/6/08,14.3343,14.1443,14.0029,14.6429,0,14.585715,16.20518803,12.96624197,1.286742573,-0.50400095,-20.65160662,14.7902259,-4.439444917,14.64025,15.04746,44.5810983,-5.416502277,-4.439444917
2217,11/7/08,14.4714,14.1014,13.6943,14.4714,0,14.61857,16.1692865,13.0678535,1.250339532,-0.520700693,-42.92392032,14.69838245,0.73435915,14.64881667,14.77916,43.3097235,-11.06415989,0.73435915
2218,11/10/08,14.3357,13.6429,13.5071,14.5714,0,14.488215,15.90059794,13.07583206,1.237050994,-0.564426124,-56.43268809,14.55765146,-2.351231802,14.62144167,14.45916,28.01505631,-11.65584184,-2.351231802
2219,11/11/08,13.4586,13.5857,13.1929,13.87,0,14.423285,15.87569402,12.97087598,1.197054494,-0.596814697,-89.36572219,14.42805793,-0.937707357,14.610725,14.00058,26.27872386,-10.87194694,-0.937707357
2220,11/12/08,13.5286,12.51,12.4143,13.5286,0,14.361215,16.01527885,12.70715115,1.19522203,-0.701199879,-150.7443854,14.17231687,-7.976137057,14.52036667,13.59686,2.658333333,-21.21471666,-7.976137057
2221,11/13/08,12.6986,13.7071,12.2957,13.7986,0,14.298715,15.95245613,12.64497387,1.217199028,-0.679497102,-94.66310939,14.11028796,-4.527376699,14.4662,13.50942,37.95514441,-5.654364495,-4.527376699
2222,11/14/08,13.6286,12.89,12.7943,13.6286,0,14.24893,16.00612232,12.49173768,1.19545624,-0.719931712,-104.8087627,13.94758289,-13.80405636,14.294175,13.26714,15.98182112,-8.867883176,-13.80405636
2223,11/17/08,12.85,12.6543,12.4757,12.9257,0,14.17879,16.06803736,12.28954264,1.142209366,-0.762209179,-130.3206833,13.77514518,-20.19084619,14.02739167,13.06942,9.643414188,-10.26210164,-20.19084619
2224,11/18/08,12.44,12.7857,12.37,13.0043,0,14.078005,16.03740196,12.11860804,1.105930126,-0.776164354,-112.8512596,13.64321915,-17.20661275,13.80595833,12.90942,13.1770021,-6.283121624,-17.20661275
2225,11/19/08,12.8371,12.3314,12.3071,13.0586,0,13.994645,16.09709729,11.89219271,1.080613688,-0.814493175,-112.0194587,13.46830993,-19.10069606,13.56333333,12.8737,0.973893117,-9.232501822,-19.10069606
2226,11/20/08,12.2743,11.5414,11.4771,12.4214,0,13.873145,16.23213436,11.51415564,1.070876996,-0.898260847,-147.9683954,13.21138861,-27.31475067,13.2019,12.44056,1.433891577,-7.742605915,-27.31475067
2227,11/21/08,12,11.7514,11.3114,12,0,13.775,16.30909058,11.24090942,1.043571496,-0.936902061,-137.4606868,13.01672346,-19.11539997,12.97046667,12.21284,9.462365591,-14.26778823,-19.11539997
2228,11/24/08,11.8714,13.2571,11.8714,13.5,0,13.75814,16.301286,11.214994,1.093930675,-0.83638675,-56.10891386,13.04877367,-6.272491392,12.89653333,12.3334,43.23777778,2.847944143,-6.272491392
2229,11/25/08,13.2857,13.0286,12.62,13.6414,0,13.691715,16.23821016,11.14521984,1.088749913,-0.766331886,-38.71523484,13.04608384,-7.607755258,12.80713333,12.38198,51.54434939,2.957887833,-7.607755258
2230,11/26/08,12.9,13.5586,12.7343,13.6014,0,13.62193,16.10182466,11.14203534,1.072917776,-0.660433266,-22.32320133,13.11441933,-0.617903818,12.80010833,12.62742,68.93251534,6.045034687,-0.617903818
2231,11/28/08,13.5357,13.2,13.14,13.57,0,13.489145,15.75122577,11.22706423,1.026995078,-0.598544225,-15.96523527,13.12583009,-2.839014552,12.76796667,12.95914,57.93251534,7.043806867,-2.839014552
2232,12/1/08,13,12.7857,12.6986,13.2386,0,13.356285,15.4495928,11.2629772,0.992209715,-0.576284217,-40.60219268,13.08047941,2.20383693,12.79094167,13.166,57.62135543,10.78118772,2.20383693
2233,12/2/08,12.8757,13.2143,12.3943,13.2143,0,13.254855,15.16088598,11.34882402,0.979909021,-0.518086384,-32.70841059,13.09832215,-3.595217077,12.749875,13.15744,76.50771952,12.44872951,-3.595217077
2234,12/3/08,12.9286,13.6714,12.6971,13.7114,0,13.144495,14.64186975,11.64712025,0.98236552,-0.430121855,24.1672775,13.17473253,6.062063615,12.81499167,13.286,94.88581537,3.125117861,6.062063615
